"date","close","volume","open","high","low"
"2018/04/09","126.8200","4188734.0000","126.4500","126.8600","126.2300"
"2018/04/06","126.3900","6104985.0000","126.5700","126.6000","126.1250"
"2018/04/05","125.8000","5328337.0000","125.4500","126.0825","125.4250"
"2018/04/04","126.4500","7486125.0000","127.5000","127.5300","126.3200"
"2018/04/03","126.3000","6079602.0000","126.5400","126.5900","126.0100"
"2018/04/02","127.2600","11417960.0000","126.6500","127.5400","126.3750"
"2018/03/29","125.7900","7115781.0000","125.4200","125.8100","125.3100"
"2018/03/28","125.7300","10253690.0000","126.4800","126.6100","125.5100"
"2018/03/27","127.4900","6177151.0000","127.2300","127.6200","127.0500"
"2018/03/26","128.2800","6155031.0000","128.0500","128.5800","128.0107"
"2018/03/23","127.6100","11987130.0000","127.8200","128.0600","127.4054"
"2018/03/22","125.9800","5296009.0000","126.0900","126.3400","125.6400"
"2018/03/21","126.4800","12530610.0000","125.4000","126.7600","125.0300"
"2018/03/20","124.3100","3399190.0000","124.4100","124.5500","123.9600"
"2018/03/19","124.8700","4334783.0000","124.5700","125.1600","124.4200"
"2018/03/16","124.6000","7397066.0000","124.8400","124.8700","124.2100"
"2018/03/15","124.9000","6128791.0000","125.1200","125.2100","124.7200"
"2018/03/14","125.7000","3738652.0000","125.4900","125.7600","125.3400"
"2018/03/13","125.7800","4795993.0000","125.6700","125.9900","125.0500"
"2018/03/12","125.5400","2883856.0000","125.0400","125.5700","124.8400"
"2018/03/09","125.5400","5066646.0000","124.9400","125.6900","124.7800"
"2018/03/08","125.4200","3470132.0000","125.6900","125.7000","125.1250"
"2018/03/07","125.7200","5153759.0000","126.2200","126.2900","125.4200"
"2018/03/06","126.5300","8608965.0000","126.2000","126.9563","126.1300"
"2018/03/05","125.1800","5772733.0000","125.3500","125.4800","124.9600"
"2018/03/02","125.3900","9993651.0000","125.6700","125.6900","124.9700"
"2018/03/01","124.7200","12905380.0000","124.1500","125.3100","123.5750"
"2018/02/28","125.0000","4531178.0000","125.0900","125.4600","124.8100"
"2018/02/27","125.1300","7076416.0000","126.0600","126.1500","124.5900"
"2018/02/26","126.4500","3194628.0000","126.4500","126.6200","126.1800"
"2018/02/23","126.1400","4234346.0000","126.0600","126.3000","125.8500"
"2018/02/22","126.3000","5327367.0000","125.9200","126.3700","125.8800"
"2018/02/21","125.6600","7900754.0000","126.3600","126.7600","125.4400"
"2018/02/20","126.2400","11147670.0000","127.2800","127.4000","126.0400"
"2018/02/16","127.9600","7923764.0000","128.3000","128.7000","127.5689"
"2018/02/15","128.3800","7272142.0000","128.4300","128.5690","127.9400"
"2018/02/14","128.2300","16413180.0000","126.4700","128.5900","126.2900"
"2018/02/13","126.0800","5296270.0000","125.6700","126.1800","125.5200"
"2018/02/12","125.3700","6976835.0000","125.1900","125.8200","125.1100"
"2018/02/09","124.7700","14127760.0000","124.6500","125.1400","124.3900"
"2018/02/08","124.9800","7334353.0000","124.9200","125.4400","124.5100"
"2018/02/07","124.7900","8547819.0000","125.4800","125.7700","124.4100"
"2018/02/06","125.3800","17661310.0000","126.5400","126.5500","125.2200"
"2018/02/05","126.7100","13583670.0000","126.8200","127.3100","126.4400"
"2018/02/02","126.3900","16760230.0000","126.8100","126.8500","125.9550"
"2018/02/01","128.0700","10836550.0000","127.1800","128.1500","127.0800"
"2018/01/31","127.6500","13418000.0000","127.4500","127.8500","126.4000"
"2018/01/30","126.8000","9735605.0000","127.9100","127.9167","126.7400"
"2018/01/29","127.3500","6949316.0000","127.5800","127.6300","126.9150"
"2018/01/26","128.0700","7804773.0000","128.2400","128.5200","127.9700"
"2018/01/25","127.9700","15201700.0000","128.6900","129.5150","127.3600"
"2018/01/24","128.8300","11798440.0000","128.3900","129.2650","128.2338"
"2018/01/23","127.2800","6171443.0000","126.5300","127.3500","126.3400"
"2018/01/22","126.6500","4864474.0000","126.5100","126.7500","126.2800"
"2018/01/19","126.4200","8773215.0000","126.5700","126.7300","126.4100"
"2018/01/18","125.8600","6287046.0000","126.1300","126.5200","125.8000"
"2018/01/17","126.1400","10124730.0000","126.7700","127.2200","125.9000"
"2018/01/16","127.1700","8076658.0000","126.6000","127.1800","126.4000"
"2018/01/12","126.9600","9257788.0000","126.0100","127.1300","125.8100"
"2018/01/11","125.4400","5991011.0000","125.3700","125.6600","125.2500"
"2018/01/10","125.0300","14805400.0000","125.1700","125.3100","124.7200"
"2018/01/09","124.7300","9148659.0000","124.4900","124.8600","124.2300"
"2018/01/08","125.3100","3562012.0000","125.2000","125.3200","124.9000"
"2018/01/05","125.3300","5720703.0000","124.9300","125.4800","124.8300"
"2018/01/04","125.4600","7326327.0000","124.8900","125.8500","124.7400"
"2018/01/03","124.8200","7889199.0000","125.0500","125.0900","124.1010"
"2018/01/02","125.1500","11703270.0000","124.6600","125.1800","124.3900"
"2017/12/29","123.6500","7850902.0000","123.7000","124.0850","123.4600"
"2017/12/28","122.8500","5732511.0000","122.8200","122.9200","122.5600"
"2017/12/27","122.2300","6229759.0000","122.0000","122.3400","121.8750"
"2017/12/26","121.7700","8222261.0000","121.5500","121.8700","121.5100"
"2017/12/22","120.9400","5790673.0000","120.6700","121.1400","120.5700"
"2017/12/21","120.3100","4822060.0000","120.0700","120.4500","120.0000"
"2017/12/20","120.1400","5733395.0000","119.9800","120.3600","119.8100"
"2017/12/19","119.8200","4016533.0000","119.6700","119.9000","119.5300"
"2017/12/18","119.7300","5450407.0000","119.6300","119.9900","119.6000"
"2017/12/15","119.1800","7531664.0000","119.4100","119.5000","118.9700"
"2017/12/14","118.9300","6992992.0000","119.1000","119.2850","118.7050"
"2017/12/13","119.1700","10083430.0000","118.1900","119.3500","118.0100"
"2017/12/12","118.1500","8018134.0000","117.7300","118.1700","117.4000"
"2017/12/11","118.0100","4520967.0000","118.3700","118.5400","117.8000"
"2017/12/08","118.4800","5231197.0000","118.6300","118.9200","118.3300"
"2017/12/07","118.4900","12899020.0000","119.0100","119.2400","118.1000"
"2017/12/06","120.0700","6640436.0000","120.0300","120.4400","119.8700"
"2017/12/05","120.3200","10036950.0000","120.4400","120.5050","119.7200"
"2017/12/04","121.1800","6943514.0000","121.1500","121.2000","120.8400"
"2017/12/01","121.5900","13007090.0000","120.9400","122.4300","120.7400"
"2017/11/30","121.1000","7935889.0000","121.4400","121.6950","120.6400"
"2017/11/29","122.0400","6138071.0000","122.2400","122.3300","121.7400"
"2017/11/28","122.8100","5602882.0000","123.0500","123.1700","122.5300"
"2017/11/27","122.8300","4957383.0000","123.2600","123.3300","122.6700"
"2017/11/24","122.3200","1779705.0000","122.3600","122.6100","122.2200"
"2017/11/22","122.6300","5210904.0000","122.2600","122.9500","122.1700"
"2017/11/21","121.5100","4954630.0000","121.6700","122.0000","121.5000"
"2017/11/20","121.3100","8279526.0000","122.3000","122.4100","121.0400"
"2017/11/17","122.8600","10613190.0000","122.1500","123.1700","121.9500"
"2017/11/16","121.4000","2796045.0000","121.4500","121.7100","121.2900"
"2017/11/15","121.4100","4983697.0000","122.1300","122.3600","121.2500"
